# Example Amoebot Model File
# Each line: node_id, q, r
0,0,0
1,1,0
2,2,-1
3,3,-1
4,4,-2
5,5,-2
6,6,-3
7,7,-3
8,8,-4
9,9,-4
10,10,-5
11,11,-5
12,12,-6
13,13,-6
14,14,-7
15,15,-7
16,16,-8
17,17,-8
18,18,-9
19,19,-9
20,20,-10
21,21,-10
22,22,-11
23,23,-11
24,24,-12
25,25,-12
26,26,-13
27,27,-13
28,28,-14
29,29,-14
30,0,1
31,1,1
32,2,0
33,3,0
34,4,-1
35,5,-1
36,6,-2
37,7,-2
38,8,-3
39,9,-3
40,10,-4
41,11,-4
42,12,-5
43,13,-5
44,14,-6
45,15,-6
46,16,-7
47,17,-7
48,18,-8
49,19,-8
50,20,-9
51,21,-9
52,22,-10
53,23,-10
54,24,-11
55,25,-11
56,26,-12
57,27,-12
58,28,-13
59,29,-13
60,0,2
61,1,2
62,2,1
63,3,1
64,4,0
65,5,0
66,6,-1
67,7,-1
68,8,-2
69,9,-2
70,10,-3
71,11,-3
72,12,-4
73,13,-4
74,14,-5
75,15,-5
76,16,-6
77,17,-6
78,18,-7
79,19,-7
80,20,-8
81,21,-8
82,22,-9
83,23,-9
84,24,-10
85,25,-10
86,26,-11
87,27,-11
88,28,-12
89,29,-12
90,0,3
91,1,3
92,2,2
93,3,2
94,4,1
95,5,1
96,6,0
97,7,0
98,8,-1
99,9,-1
100,10,-2
101,11,-2
102,12,-3
103,13,-3
104,14,-4
105,15,-4
106,16,-5
107,17,-5
108,18,-6
109,19,-6
110,20,-7
111,21,-7
112,22,-8
113,23,-8
114,24,-9
115,25,-9
116,26,-10
117,27,-10
118,28,-11
119,29,-11
120,0,4
121,1,4
122,2,3
123,3,3
124,4,2
125,5,2
126,6,1
127,7,1
128,8,0
129,9,0
130,10,-1
131,11,-1
132,12,-2
133,13,-2
134,14,-3
135,15,-3
136,16,-4
137,17,-4
138,18,-5
139,19,-5
140,20,-6
141,21,-6
142,22,-7
143,23,-7
144,24,-8
145,25,-8
146,26,-9
147,27,-9
148,28,-10
149,29,-10
150,0,5
151,1,5
152,2,4
153,3,4
154,4,3
155,5,3
156,6,2
157,7,2
158,8,1
159,9,1
160,10,0
161,11,0
162,12,-1
163,13,-1
164,14,-2
165,15,-2
166,16,-3
167,17,-3
168,18,-4
169,19,-4
170,20,-5
171,21,-5
172,22,-6
173,23,-6
174,24,-7
175,25,-7
176,26,-8
177,27,-8
178,28,-9
179,29,-9
180,0,6
181,1,6
182,2,5
183,3,5
184,4,4
185,5,4
186,6,3
187,7,3
188,8,2
189,9,2
190,10,1
191,11,1
192,12,0
193,13,0
194,14,-1
195,15,-1
196,16,-2
197,17,-2
198,18,-3
199,19,-3
200,20,-4
201,21,-4
202,22,-5
203,23,-5
204,24,-6
205,25,-6
206,26,-7
207,27,-7
208,28,-8
209,29,-8
210,0,7
211,1,7
212,2,6
213,3,6
214,4,5
215,5,5
216,6,4
217,7,4
218,8,3
219,9,3
220,10,2
221,11,2
222,12,1
223,13,1
224,14,0
225,15,0
226,16,-1
227,17,-1
228,18,-2
229,19,-2
230,20,-3
231,21,-3
232,22,-4
233,23,-4
234,24,-5
235,25,-5
236,26,-6
237,27,-6
238,28,-7
239,29,-7
240,0,8
241,1,8
242,2,7
243,3,7
244,4,6
245,5,6
246,6,5
247,7,5
248,8,4
249,9,4
250,10,3
251,11,3
252,12,2
253,13,2
254,14,1
255,15,1
256,16,0
257,17,0
258,18,-1
259,19,-1
260,20,-2
261,21,-2
262,22,-3
263,23,-3
264,24,-4
265,25,-4
266,26,-5
267,27,-5
268,28,-6
269,29,-6
270,0,9
271,1,9
272,2,8
273,3,8
274,4,7
275,5,7
276,6,6
277,7,6
278,8,5
279,9,5
280,10,4
281,11,4
282,12,3
283,13,3
284,14,2
285,15,2
286,16,1
287,17,1
288,18,0
289,19,0
290,20,-1
291,21,-1
292,22,-2
293,23,-2
294,24,-3
295,25,-3
296,26,-4
297,27,-4
298,28,-5
299,29,-5
300,0,10
301,1,10
302,2,9
303,3,9
304,4,8
305,5,8
306,6,7
307,7,7
308,8,6
309,9,6
310,10,5
311,11,5
312,12,4
313,13,4
314,14,3
315,15,3
316,16,2
317,17,2
318,18,1
319,19,1
320,20,0
321,21,0
322,22,-1
323,23,-1
324,24,-2
325,25,-2
326,26,-3
327,27,-3
328,28,-4
329,29,-4
330,0,11
331,1,11
332,2,10
333,3,10
334,4,9
335,5,9
336,6,8
337,7,8
338,8,7
339,9,7
340,10,6
341,11,6
342,12,5
343,13,5
344,14,4
345,15,4
346,16,3
347,17,3
348,18,2
349,19,2
350,20,1
351,21,1
352,22,0
353,23,0
354,24,-1
355,25,-1
356,26,-2
357,27,-2
358,28,-3
359,29,-3
360,0,12
361,1,12
362,2,11
363,3,11
364,4,10
365,5,10
366,6,9
367,7,9
368,8,8
369,9,8
370,10,7
371,11,7
372,12,6
373,13,6
374,14,5
375,15,5
376,16,4
377,17,4
378,18,3
379,19,3
380,20,2
381,21,2
382,22,1
383,23,1
384,24,0
385,25,0
386,26,-1
387,27,-1
388,28,-2
389,29,-2
390,0,13
391,1,13
392,2,12
393,3,12
394,4,11
395,5,11
396,6,10
397,7,10
398,8,9
399,9,9
400,10,8
401,11,8
402,12,7
403,13,7
404,14,6
405,15,6
406,16,5
407,17,5
408,18,4
409,19,4
410,20,3
411,21,3
412,22,2
413,23,2
414,24,1
415,25,1
416,26,0
417,27,0
418,28,-1
419,29,-1
420,0,14
421,1,14
422,2,13
423,3,13
424,4,12
425,5,12
426,6,11
427,7,11
428,8,10
429,9,10
430,10,9
431,11,9
432,12,8
433,13,8
434,14,7
435,15,7
436,16,6
437,17,6
438,18,5
439,19,5
440,20,4
441,21,4
442,22,3
443,23,3
444,24,2
445,25,2
446,26,1
447,27,1
448,28,0
449,29,0
450,0,15
451,1,15
452,2,14
453,3,14
454,4,13
455,5,13
456,6,12
457,7,12
458,8,11
459,9,11
460,10,10
461,11,10
462,12,9
463,13,9
464,14,8
465,15,8
466,16,7
467,17,7
468,18,6
469,19,6
470,20,5
471,21,5
472,22,4
473,23,4
474,24,3
475,25,3
476,26,2
477,27,2
478,28,1
479,29,1
480,0,16
481,1,16
482,2,15
483,3,15
484,4,14
485,5,14
486,6,13
487,7,13
488,8,12
489,9,12
490,10,11
491,11,11
492,12,10
493,13,10
494,14,9
495,15,9
496,16,8
497,17,8
498,18,7
499,19,7
500,20,6
501,21,6
502,22,5
503,23,5
504,24,4
505,25,4
506,26,3
507,27,3
508,28,2
509,29,2
510,0,17
511,1,17
512,2,16
513,3,16
514,4,15
515,5,15
516,6,14
517,7,14
518,8,13
519,9,13
520,10,12
521,11,12
522,12,11
523,13,11
524,14,10
525,15,10
526,16,9
527,17,9
528,18,8
529,19,8
530,20,7
531,21,7
532,22,6
533,23,6
534,24,5
535,25,5
536,26,4
537,27,4
538,28,3
539,29,3
540,0,18
541,1,18
542,2,17
543,3,17
544,4,16
545,5,16
546,6,15
547,7,15
548,8,14
549,9,14
550,10,13
551,11,13
552,12,12
553,13,12
554,14,11
555,15,11
556,16,10
557,17,10
558,18,9
559,19,9
560,20,8
561,21,8
562,22,7
563,23,7
564,24,6
565,25,6
566,26,5
567,27,5
568,28,4
569,29,4
570,0,19
571,1,19
572,2,18
573,3,18
574,4,17
575,5,17
576,6,16
577,7,16
578,8,15
579,9,15
580,10,14
581,11,14
582,12,13
583,13,13
584,14,12
585,15,12
586,16,11
587,17,11
588,18,10
589,19,10
590,20,9
591,21,9
592,22,8
593,23,8
594,24,7
595,25,7
596,26,6
597,27,6
598,28,5
599,29,5
600,0,20
