file,executionTime,iterations,stripeSteps,totalSteps,executionTimeIcycle,iterationsIcycle,stripeStepsIcycle,totalStepsIcycle
0.txt,0.0,3,30,63,0.0,3,33,66
1.txt,0.0,4,56,88,0.0,4,68,96
10.txt,0.0,3,42,69,0.0,4,64,92
100.txt,0.0,3,33,63,0.0,4,56,92
101.txt,0.0,3,33,66,0.0,4,64,92
102.txt,0.0,3,30,66,0.0,4,68,96
103.txt,0.0,3,30,63,0.0,4,64,92
104.txt,0.0,3,39,60,0.0,4,64,92
105.txt,0.0,3,33,63,0.0,4,56,92
106.txt,0.0,4,52,92,0.0,4,64,92
107.txt,0.0,3,27,57,0.9982585906982422,3,39,69
108.txt,1.0216236114501953,4,52,84,0.0,3,39,69
109.txt,0.0,3,27,66,0.0,4,64,92
11.txt,1.0111331939697266,4,48,84,1.0001659393310547,4,76,92
110.txt,0.0,3,36,66,1.0750293731689453,4,56,92
111.txt,0.0,3,33,66,0.9992122650146484,3,39,69
112.txt,0.0,3,24,63,0.0,3,39,69
113.txt,0.0,4,60,88,0.0,4,64,96
114.txt,0.0,4,64,88,0.0,4,64,92
115.txt,0.0,3,39,69,0.0,4,56,92
116.txt,1.5039443969726562,4,52,84,0.0,3,36,69
117.txt,0.0,4,52,88,0.0,4,64,92
118.txt,0.0,3,33,63,0.0,3,30,66
119.txt,0.0,3,33,66,0.0,4,68,96
12.txt,0.0,3,27,60,0.0,4,56,92
120.txt,0.0,3,30,63,0.0,4,56,92
121.txt,0.0,3,30,60,0.0,4,56,92
122.txt,0.0,3,39,63,0.0,4,76,96
123.txt,0.0,4,56,88,0.0,4,56,92
124.txt,0.0,4,60,88,0.0,4,60,92
126.txt,0.0,3,36,60,0.0,4,64,92
127.txt,0.0,3,33,69,0.0,4,68,96
128.txt,0.0,4,56,92,0.0,4,64,92
129.txt,0.0,4,60,88,0.9999275207519531,4,76,92
13.txt,0.0,3,36,63,0.0,3,39,66
130.txt,1.0004043579101562,4,48,80,0.0,4,64,92
131.txt,0.0,3,30,63,0.0,4,64,92
132.txt,0.0,3,33,63,0.0,4,56,92
133.txt,1.0075569152832031,3,27,63,0.0,4,56,92
134.txt,0.9992122650146484,3,33,69,0.0,3,39,69
135.txt,0.0,4,56,88,0.0,4,68,92
136.txt,0.0,3,33,63,0.0,3,39,69
137.txt,0.0,4,52,88,0.0,4,56,92
139.txt,0.0,4,56,88,0.0,4,76,96
14.txt,1.0128021240234375,3,33,66,0.0,4,56,92
140.txt,0.0,4,56,80,1.0063648223876953,4,68,92
141.txt,0.0,3,33,63,0.0,4,56,92
142.txt,0.0,3,30,57,1.0037422180175781,4,64,92
143.txt,1.005411148071289,3,30,60,0.0,4,64,92
144.txt,0.0,3,30,63,0.0,4,56,92
145.txt,0.0,4,52,88,0.0,4,64,92
146.txt,0.0,3,33,63,0.0,4,56,92
147.txt,1.0001659393310547,3,30,63,0.0,3,36,69
148.txt,0.0,3,24,60,0.0,4,64,92
149.txt,0.0,3,27,60,0.0,4,60,92
15.txt,1.0039806365966797,3,30,63,1.0013580322265625,3,36,69
150.txt,0.0,3,36,63,0.0,4,56,92
151.txt,1.505136489868164,4,56,92,0.0,4,64,92
152.txt,1.0294914245605469,3,36,66,0.0,4,56,92
153.txt,0.0,3,36,63,0.0,3,39,69
154.txt,0.0,3,33,63,0.0,4,56,92
155.txt,0.0,3,36,60,0.0,4,64,92
156.txt,0.0,3,33,63,0.0,4,60,92
157.txt,0.0,3,33,63,0.0,4,56,92
158.txt,0.0,3,30,60,0.0,3,36,66
