file,executionTime,steps,executionTimeIcycle,stepsIcycle
0.txt,0.0,5,0.0,5
1.txt,0.0,5,0.0,9
10.txt,0.0,6,0.0,8
100.txt,0.0,2,0.0,4
101.txt,1.0068416595458984,6,0.0,8
102.txt,0.0,5,0.0,9
103.txt,0.0,3,0.0,8
104.txt,0.0,2,0.0,8
105.txt,0.0,5,0.0,7
106.txt,1.0008811950683594,4,0.0,8
107.txt,0.0,5,0.0,6
108.txt,0.0,5,0.0,6
109.txt,0.0,3,0.0,8
11.txt,0.0,6,0.0,10
110.txt,0.0,6,0.0,4
111.txt,0.0,5,0.0,6
112.txt,0.0,4,0.0,6
113.txt,0.0,6,0.0,7
114.txt,0.0,7,0.0,7
115.txt,0.0,3,0.0,7
116.txt,0.0,3,0.0,6
117.txt,0.0,4,0.0,8
118.txt,0.0,3,0.0,4
119.txt,0.0,6,0.0,9
12.txt,0.0,4,1.0311603546142578,4
120.txt,0.0,4,0.0,4
121.txt,0.0,4,0.0,4
122.txt,0.0,2,0.0,10
123.txt,0.0,5,0.0,7
124.txt,0.0,6,0.0,6
126.txt,0.0,4,0.0,8
127.txt,0.0,3,0.0,9
128.txt,1.0256767272949219,8,0.0,8
129.txt,0.0,6,0.0,10
13.txt,0.0,3,0.0,6
130.txt,0.0,5,0.0,8
131.txt,0.0,1,0.0,8
132.txt,0.0,4,0.0,7
133.txt,0.0,1,0.0,4
134.txt,0.0,3,0.0,6
135.txt,0.0,7,0.0,7
136.txt,0.0,2,0.0,6
137.txt,0.0,5,0.0,7
139.txt,0.0,1,0.0,10
14.txt,0.0,4,0.0,7
140.txt,0.0,2,0.0,7
141.txt,0.0,6,0.0,7
142.txt,0.0,2,0.0,8
143.txt,0.0,2,0.0,8
144.txt,0.99945068359375,4,0.0,7
145.txt,0.0,5,0.0,8
146.txt,0.0,6,0.0,7
147.txt,0.0,5,0.0,5
148.txt,0.0,4,0.0,8
149.txt,0.0,3,0.0,7
15.txt,0.0,4,0.0,5
150.txt,0.0,3,0.0,4
151.txt,0.0,8,0.0,8
152.txt,0.0,4,0.0,4
153.txt,0.0,2,0.0,6
154.txt,0.0,4,0.0,4
155.txt,0.0,4,0.0,8
156.txt,0.0,4,0.0,8
157.txt,0.0,4,0.0,7
158.txt,0.0,2,0.0,6
159.txt,0.0,4,0.0,6
16.txt,0.0,4,0.0,10
160.txt,0.0,4,0.0,4
161.txt,0.0,2,0.0,8
162.txt,0.0,2,0.0,6
163.txt,0.0,7,0.0,7
164.txt,0.0,6,0.0,8
165.txt,0.0,3,0.0,6
166.txt,0.0,2,0.0,2
167.txt,0.0,5,0.0,8
168.txt,0.0,5,0.0,10
169.txt,0.0,6,0.0,6
17.txt,0.0,2,0.0,6
170.txt,0.0,5,0.0,6
171.txt,0.0,2,0.0,10
172.txt,0.0,4,0.0,9
173.txt,0.0,2,0.0,6
174.txt,0.0,1,0.0,9
175.txt,0.0,3,0.0,8
176.txt,0.0,5,0.0,8
177.txt,0.0,6,0.0,6
178.txt,0.0,4,0.0,7
179.txt,0.0,4,0.0,9
18.txt,0.0,2,0.0,8
180.txt,0.0,4,0.0,6
181.txt,0.0,3,0.0,5
182.txt,0.0,4,0.0,7
183.txt,0.0,4,0.0,8
184.txt,0.0,7,0.0,8
185.txt,0.0,6,0.0,8
186.txt,0.0,4,0.0,7
187.txt,0.0,7,0.0,9
188.txt,0.0,4,0.0,8
189.txt,0.0,6,0.0,4
19.txt,0.0,7,0.0,8
190.txt,0.0,4,0.0,6
191.txt,0.0,3,0.0,7
192.txt,0.0,3,0.0,10
193.txt,0.0,3,0.0,8
194.txt,0.0,6,0.0,7
195.txt,0.0,6,0.0,6
196.txt,0.0,3,0.0,6
197.txt,0.0,3,0.0,7
198.txt,0.0,2,0.0,8
